id,grupo_edad,rol,estado,edad,estilo,usuario_input
227,Niños,Victima,Querétaro,11,Emocional,"¡Me duele mucho la cabeza! Me caí de la bici y veo doble, ¡tengo miedo!"
228,Niños,Victima,Puebla,8,Emocional,"¡No puedo respirar! El inhalador no funciona, ¡me estoy muriendo!"
229,Niños,Victima,Morelos,9,Emocional,"¡Me duele la espalda! Me caí del árbol y no siento mis piernas, ¡ayuda!"
230,Niños,Testigo,CDMX,12,Emocional,"¡Mi abuelito está sangrando, ¡estoy solo y tengo miedo!"
231,Niños,Testigo,Nuevo León,10,Emocional,"¡Mi mamá no despierta! Se tomó pastillas y respira raro, ¡tengo miedo de llamar!"
232,Niños,Testigo,Jalisco,11,Emocional,"¡tengo mucho miedo! ¡Mi vecino se electrocutó! Está tirado y no responde"
233,Niños,Victima,CDMX,9,Caotico,"¡CANICA NARIZ NO RESPIRAR DESMAYAR AYUDA AYUDA!"
234,Niños,Victima,Nuevo León,10,Caotico,"¡MIEDO CONVULSIÓN 5 MINUTOS NO PARAR MAMÁ NO ESTÁ AYUDA!"
235,Niños,Victima,Jalisco,8,Caotico,"¡BICI CABEZA VEO DOBLE VOMITAR AYUDA MIEDO!"
236,Niños,Victima,CDMX,12,Caotico,"¡MIEDO MANTARRAYA PIE SANGRE NO CAMINO AYUDA!"
237,Niños,Testigo,Querétaro,11,Caotico,"¡ABUELITO NO RESPIRA SANGRE CABEZA AYUDA!"
238,Niños,Testigo,Morelos,9,Caotico,"¡HERMANITA ALBERCA NO SALE MINUTOS AYUDA!"
239,Niños,Victima,CDMX,8,Slang,"Me metí una canica en la nariz y no puedo respirar, está bien feo"
240,Niños,Victima,Nuevo León,11,Slang,"Me caí de la bici y me pegué en la cabeza, veo doble, qué miedo"
id,grupo_edad,rol,estado,edad,estilo,usuario_input
241,55+,Victima,CDMX,62,Neutral,"Me duele el pecho, se me sube al brazo y no puedo respirar bien"
242,55+,Victima,Nuevo León,68,Neutral,"Me resbalé en el baño y me quebré la cadera, no puedo levantarme"
243,55+,Victima,Jalisco,55,Neutral,"Me caí y me golpeé la cabeza, veo borroso y quiero vomitar"
244,55+,Victima,CDMX,56,Neutral,"Traigo un dolor en la panza que no aguanto, ya hasta sangre estoy echando"
245,55+,Victima,Quintana Roo,60,Neutral,"Me dio un dolor en el pecho bien feo, sudo frío y no puedo respirar"
246,55+,Victima,Guanajuato,65,Neutral,"Me caí en la calle y no me puedo levantar, me duele la cadera"
247,55+,Victima,CDMX,58,Neutral,"Me duele la cabeza bien feo y veo manchas, no puedo caminar"
248,55+,Victima,Querétaro,70,Neutral,"Me resbalé en la cocina y me golpeé la cabeza, estoy sangrando"
249,55+,Victima,Puebla,55,Neutral,"Me duele la panza y estoy muy débil, no me puedo parar"
250,55+,Victima,Morelos,62,Neutral,"Me cayó un peso en el pie y no puedo caminar, está morado"
251,55+,Victima,CDMX,63,Emocional,"¡Ay, Dios mío! Me duele el pecho horrible, se sube al brazo, ¡tengo miedo de morirme!"
252,55+,Victima,Nuevo León,67,Emocional,"¡Me resbalé en el baño y me quebré la cadera! Me duele un chingo, ¡ayuda!"
253,55+,Victima,Jalisco,58,Emocional,"¡Me caí y me golpeé la cabeza! Veo borroso y quiero vomitar, ¡tengo mucho miedo!"
254,55+,Victima,CDMX,56,Emocional,"¡Me duele la panza insoportable! Estoy echando sangre, ¡no aguanto el dolor!"
255,55+,Victima,Quintana Roo,61,Emocional,"¡Me duele el pecho y sudo frío! No puedo respirar, ¡siento que me voy a morir!"
256,55+,Victima,Guanajuato,66,Emocional,"¡Me caí en la calle y no me puedo levantar! Me duele la cadera, ¡ayuda!"
257,55+,Victima,CDMX,59,Emocional,"¡Me duele la cabeza bien feo! Veo manchas y no puedo caminar, ¡tengo miedo!"
258,55+,Victima,Querétaro,71,Emocional,"¡Me resbalé en la cocina! Estoy sangrando de la cabeza, ¡ayuda!"
259,55+,Victima,Puebla,57,Emocional,"¡Me duele la panza y estoy muy débil! No me puedo parar, ¡tengo mucho miedo!"
260,55+,Victima,Morelos,64,Emocional,"¡Me cayó un peso en el pie! No puedo caminar, está morado y me duele muchísimo!"
261,55+,Victima,CDMX,62,Formal,"Presento dolor torácico intenso que irradia al brazo izquierdo, acompañado de diaforesis y disnea"
262,55+,Victima,Nuevo León,68,Formal,"He sufrido una caída, probable fractura de cadera, no puedo levantarme y presento escalofríos"
263,55+,Victima,Jalisco,55,Formal,"He sufrido una caída y golpe en la cabeza, presento visión borrosa y náuseas"
264,55+,Victima,CDMX,56,Formal,"Presento dolor abdominal severo con hemorragia digestiva, requiero atención médica de urgencia"
265,55+,Victima,Quintana Roo,60,Formal,"Presento dolor torácico agudo con diaforesis y disnea, posible síndrome coronario"
266,55+,Victima,Guanajuato,65,Formal,"He sufrido una caída, presento dolor en cadera e incapacidad para la marcha"
267,55+,Victima,CDMX,58,Formal,"Presento cefalea intensa con alteraciones visuales y dificultad para la marcha"
268,55+,Victima,Querétaro,70,Formal,"He sufrido una caída, presento herida en cabeza con sangrado activo"
269,55+,Victima,Puebla,55,Formal,"Presento dolor abdominal con debilidad generalizada e incapacidad para la bipedestación"
270,55+,Victima,Morelos,62,Formal,"Sufrí un trauma en el pie por caída de objeto pesado, presento edema y limitación funcional"
id,grupo_edad,rol,estado,edad,estilo,usuario_input
271,Slang,Victima,CDMX,19,Slang,"Me chingaron, me dieron un balazo en la pata y no deja de sangrar, ya me estoy desmayando, güey"
272,Slang,Victima,Nuevo León,22,Slang,"No mames, se me metió un tráiler y me estampé, no siento las patas y veo bien borroso, está canijo"
273,Slang,Victima,Jalisco,18,Slang,"Me caí de la moto y veo la carne del brazo, está bien culero, no para de sangrar, qué mal pedo"
274,Slang,Victima,CDMX,30,Slang,"Me dieron un balazo en la pierna, no deja de sangrar y ya me estoy mareando, wey, está muy feo esto"
275,Slang,Victima,Quintana Roo,33,Slang,"Me picó una mantarraya y no deja de sangrar, me duele bien gacho la pierna, no puedo caminar"
276,Slang,Victima,Guanajuato,29,Slang,"Me duele la panza bien cabrón, como si algo explotara, sudo frío y no me puedo parar, qué pedo"
277,Slang,Victima,CDMX,31,Slang,"Me corté la mano y no para la sangre, veo todo blanco y me mareo, está bien gacho, güey"
278,Slang,Victima,Querétaro,34,Slang,"Me quebré la muñeca, el hueso se ve y sangra, no puedo mover los dedos, está bien culero"
279,Slang,Victima,Puebla,27,Slang,"Me cayó un block en la cabeza, sangro un chingo y me voy a desmayar, qué mala onda, wey"
280,Slang,Victima,Morelos,32,Slang,"Mi vieja me cortó el brazo con un cuchillo, no para de sangrar y ya me mareo, está bien feo esto"
281,Slang,Testigo,CDMX,22,Slang,"Mi compa se cayó en la obra, wey, sangra de la nariz y no se mueve, está bien grave"
282,Slang,Testigo,Nuevo León,19,Slang,"Mi amigo no respira después del choque, tiene sangre en la boca, qué pedo, güey"
283,Slang,Testigo,Jalisco,23,Slang,"Mi novia se desmayó en el antro y está convulsionando, no sé qué hacer, wey"
284,Slang,Testigo,CDMX,20,Slang,"Mi roomie se tomó pastillas y no despierta, respira bien lento, qué miedo, güey"
285,Slang,Testigo,Quintana Roo,18,Slang,"Mi hermano voló de la moto, tiene el brazo doblado y sangra un chingo, está bien culero"
id,grupo_edad,rol,estado,edad,estilo,usuario_input
286,Errores,Victima,CDMX,28,Errores,"Me duele el pecho bien feo, como si alguien me estubiera apuñalando, no puedo respirar"
287,Errores,Victima,Nuevo León,33,Errores,"Voy manejando y un camión me choco de frente, el volante me aplasto el pecho"
288,Errores,Victima,Jalisco,30,Errores,"Me caí de la moto en la carretera, tengo raspado todo el brazo y veo la carnee"
289,Errores,Victima,CDMX,29,Errores,"Me cayó una lamina en la obra, me aplasto la pierna y no la siento"
290,Errores,Victima,Quintana Roo,34,Errores,"Me pico una mantarraya en la playa, no dejo de sangrar y me duele hasta la pierna"
291,Errores,Victima,Guanajuato,27,Errores,"Me dio un dolor en la panza bien gacho, como si me explotara algo"
292,Errores,Victima,CDMX,31,Errores,"Me corte la mano con una sierra, no para de sangrar y me estoy mareando"
293,Errores,Victima,Querétaro,32,Errores,"Me resbale en el baño y me quebre la muñeca, el hueso se ve atrabesado"
294,Errores,Victima,Puebla,28,Errores,"Me dispararon en la pierna en la colonia, no para de sangrar y me boy a desmayar"
295,Errores,Victima,Morelos,35,Errores,"Me cayó un block en la cabeza, me duele bien feo y estoy sangrando un chingo"
296,Errores,Testigo,CDMX,30,Errores,"Mi compa se cayó del andamio, esta en el suelo y no se mueve"
297,Errores,Testigo,Nuevo León,28,Errores,"Mi amigo del copiloto no respira despues del choque"
298,Errores,Testigo,Jalisco,34,Errores,"Mi novia se desmayo y esta convulsionando en el antro"
299,Errores,Testigo,CDMX,20,Errores,"Mi roomie se tomo pastillas y no despierta, respira muy lento"
300,Errores,Testigo,Quintana Roo,33,Errores,"Mi hermano volo de la moto y esta en el suelo con el brazo doblado"
301,Cortas,Victima,Morelos,33,"Ayuda no puedo respirar"
302,Cortas,Victima,Michoacan,40,"Dolor pecho fuerte"
303,Cortas,Victima,Sonora,35,"Sangra mucho"
304,Cortas,Victima,Sonora,40,"Está morado"
305,Cortas,Victima,Sonora,55,"No siento las piernas"

